#Entity         GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        
ID                                                                                                                      
GPU 0           0.000        0.000        0.000        0.000        0.001        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        0.001        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
#Entity         GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        
ID                                                                                                                      
GPU 0           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0           0.013        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 1           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 2           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 3           0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
